building model of GNEP knapsack game

NEP with 4 players:

Player 0 of variable indices from 0 to 14
Optimization problem with 15 variables

min 	-14 x_0 - 31 x_1 - 76 x_2 - 88 x_3 - 78 x_4 - 41 x_5 - 98 x_6 - 52 x_7 - 99 x_8 - 43 x_9 - 95 x_10 - 87 x_11 - 63 x_12 - 66 x_13 - 63 x_14
s.t.	x_0 <= 1.000000
    	-x_0 <= 0.000000
    	x_1 <= 1.000000
    	-x_1 <= 0.000000
    	x_2 <= 1.000000
    	-x_2 <= 0.000000
    	x_3 <= 1.000000
    	-x_3 <= 0.000000
    	x_4 <= 1.000000
    	-x_4 <= 0.000000
    	x_5 <= 1.000000
    	-x_5 <= 0.000000
    	x_6 <= 1.000000
    	-x_6 <= 0.000000
    	x_7 <= 1.000000
    	-x_7 <= 0.000000
    	x_8 <= 1.000000
    	-x_8 <= 0.000000
    	x_9 <= 1.000000
    	-x_9 <= 0.000000
    	x_10 <= 1.000000
    	-x_10 <= 0.000000
    	x_11 <= 1.000000
    	-x_11 <= 0.000000
    	x_12 <= 1.000000
    	-x_12 <= 0.000000
    	x_13 <= 1.000000
    	-x_13 <= 0.000000
    	x_14 <= 1.000000
    	-x_14 <= 0.000000
    	x_0 + x_15 + x_30 + x_45 <= 2.000000
    	x_1 + x_16 + x_31 + x_46 <= 4.000000
    	x_2 + x_17 + x_32 + x_47 <= 2.000000
    	x_3 + x_18 + x_33 + x_48 <= 3.000000
    	x_4 + x_19 + x_34 + x_49 <= 4.000000
    	x_5 + x_20 + x_35 + x_50 <= 1.000000
    	x_6 + x_21 + x_36 + x_51 <= 4.000000
    	x_7 + x_22 + x_37 + x_52 <= 1.000000
    	x_8 + x_23 + x_38 + x_53 <= 2.000000
    	x_9 + x_24 + x_39 + x_54 <= 1.000000
    	x_10 + x_25 + x_40 + x_55 <= 2.000000
    	x_11 + x_26 + x_41 + x_56 <= 1.000000
    	x_12 + x_27 + x_42 + x_57 <= 4.000000
    	x_13 + x_28 + x_43 + x_58 <= 4.000000
    	x_14 + x_29 + x_44 + x_59 <= 4.000000
    	32 x_0 + 16 x_1 + 26 x_2 + 19 x_3 + 16 x_4 + 38 x_5 + 41 x_6 + 4 x_7 + 29 x_8 + 90 x_9 + 84 x_10 + 79 x_11 + 68 x_12 + 44 x_13 + 5 x_14 <= 295.000000
    	
integer variables: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
Player 1 of variable indices from 15 to 29
Optimization problem with 15 variables

min 	-91 x_15 - 47 x_16 - 85 x_17 - 65 x_18 - 54 x_19 - 50 x_20 - 46 x_21 - 92 x_22 - 59 x_23 - 11 x_24 - 88 x_25 - 60 x_26 - 24 x_27 - 7 x_28 - 28 x_29
s.t.	x_15 <= 1.000000
    	-x_15 <= 0.000000
    	x_16 <= 1.000000
    	-x_16 <= 0.000000
    	x_17 <= 1.000000
    	-x_17 <= 0.000000
    	x_18 <= 1.000000
    	-x_18 <= 0.000000
    	x_19 <= 1.000000
    	-x_19 <= 0.000000
    	x_20 <= 1.000000
    	-x_20 <= 0.000000
    	x_21 <= 1.000000
    	-x_21 <= 0.000000
    	x_22 <= 1.000000
    	-x_22 <= 0.000000
    	x_23 <= 1.000000
    	-x_23 <= 0.000000
    	x_24 <= 1.000000
    	-x_24 <= 0.000000
    	x_25 <= 1.000000
    	-x_25 <= 0.000000
    	x_26 <= 1.000000
    	-x_26 <= 0.000000
    	x_27 <= 1.000000
    	-x_27 <= 0.000000
    	x_28 <= 1.000000
    	-x_28 <= 0.000000
    	x_29 <= 1.000000
    	-x_29 <= 0.000000
    	x_0 + x_15 + x_30 + x_45 <= 2.000000
    	x_1 + x_16 + x_31 + x_46 <= 4.000000
    	x_2 + x_17 + x_32 + x_47 <= 2.000000
    	x_3 + x_18 + x_33 + x_48 <= 3.000000
    	x_4 + x_19 + x_34 + x_49 <= 4.000000
    	x_5 + x_20 + x_35 + x_50 <= 1.000000
    	x_6 + x_21 + x_36 + x_51 <= 4.000000
    	x_7 + x_22 + x_37 + x_52 <= 1.000000
    	x_8 + x_23 + x_38 + x_53 <= 2.000000
    	x_9 + x_24 + x_39 + x_54 <= 1.000000
    	x_10 + x_25 + x_40 + x_55 <= 2.000000
    	x_11 + x_26 + x_41 + x_56 <= 1.000000
    	x_12 + x_27 + x_42 + x_57 <= 4.000000
    	x_13 + x_28 + x_43 + x_58 <= 4.000000
    	x_14 + x_29 + x_44 + x_59 <= 4.000000
    	50 x_15 + 59 x_16 + 97 x_17 + 66 x_18 + 67 x_19 + 92 x_20 + 68 x_21 + 42 x_22 + 4 x_23 + 45 x_24 + 22 x_25 + 90 x_26 + 11 x_27 + 91 x_28 + 39 x_29 <= 421.000000
    	
integer variables: 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 
Player 2 of variable indices from 30 to 44
Optimization problem with 15 variables

min 	-67 x_30 - 56 x_31 - 85 x_32 - 41 x_33 - 23 x_34 - 58 x_35 - 95 x_36 - 25 x_37 - 12 x_38 - 72 x_39 - 72 x_40 - 24 x_41 - 84 x_42 - 47 x_43 - 100 x_44
s.t.	x_30 <= 1.000000
    	-x_30 <= 0.000000
    	x_31 <= 1.000000
    	-x_31 <= 0.000000
    	x_32 <= 1.000000
    	-x_32 <= 0.000000
    	x_33 <= 1.000000
    	-x_33 <= 0.000000
    	x_34 <= 1.000000
    	-x_34 <= 0.000000
    	x_35 <= 1.000000
    	-x_35 <= 0.000000
    	x_36 <= 1.000000
    	-x_36 <= 0.000000
    	x_37 <= 1.000000
    	-x_37 <= 0.000000
    	x_38 <= 1.000000
    	-x_38 <= 0.000000
    	x_39 <= 1.000000
    	-x_39 <= 0.000000
    	x_40 <= 1.000000
    	-x_40 <= 0.000000
    	x_41 <= 1.000000
    	-x_41 <= 0.000000
    	x_42 <= 1.000000
    	-x_42 <= 0.000000
    	x_43 <= 1.000000
    	-x_43 <= 0.000000
    	x_44 <= 1.000000
    	-x_44 <= 0.000000
    	x_0 + x_15 + x_30 + x_45 <= 2.000000
    	x_1 + x_16 + x_31 + x_46 <= 4.000000
    	x_2 + x_17 + x_32 + x_47 <= 2.000000
    	x_3 + x_18 + x_33 + x_48 <= 3.000000
    	x_4 + x_19 + x_34 + x_49 <= 4.000000
    	x_5 + x_20 + x_35 + x_50 <= 1.000000
    	x_6 + x_21 + x_36 + x_51 <= 4.000000
    	x_7 + x_22 + x_37 + x_52 <= 1.000000
    	x_8 + x_23 + x_38 + x_53 <= 2.000000
    	x_9 + x_24 + x_39 + x_54 <= 1.000000
    	x_10 + x_25 + x_40 + x_55 <= 2.000000
    	x_11 + x_26 + x_41 + x_56 <= 1.000000
    	x_12 + x_27 + x_42 + x_57 <= 4.000000
    	x_13 + x_28 + x_43 + x_58 <= 4.000000
    	x_14 + x_29 + x_44 + x_59 <= 4.000000
    	69 x_30 + 93 x_31 + 67 x_32 + 12 x_33 + 17 x_34 + 39 x_35 + 94 x_36 + 81 x_37 + 70 x_38 + 99 x_39 + 69 x_40 + 100 x_41 + 61 x_42 + 29 x_43 + 66 x_44 <= 483.000000
    	
integer variables: 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 
Player 3 of variable indices from 45 to 59
Optimization problem with 15 variables

min 	-52 x_45 - 72 x_46 - 94 x_47 - 26 x_48 - 91 x_49 - 67 x_50 - 51 x_51 - 65 x_52 - 64 x_53 - 40 x_54 - 65 x_55 - 97 x_56 - 45 x_57 - 88 x_58 - 73 x_59
s.t.	x_45 <= 1.000000
    	-x_45 <= 0.000000
    	x_46 <= 1.000000
    	-x_46 <= 0.000000
    	x_47 <= 1.000000
    	-x_47 <= 0.000000
    	x_48 <= 1.000000
    	-x_48 <= 0.000000
    	x_49 <= 1.000000
    	-x_49 <= 0.000000
    	x_50 <= 1.000000
    	-x_50 <= 0.000000
    	x_51 <= 1.000000
    	-x_51 <= 0.000000
    	x_52 <= 1.000000
    	-x_52 <= 0.000000
    	x_53 <= 1.000000
    	-x_53 <= 0.000000
    	x_54 <= 1.000000
    	-x_54 <= 0.000000
    	x_55 <= 1.000000
    	-x_55 <= 0.000000
    	x_56 <= 1.000000
    	-x_56 <= 0.000000
    	x_57 <= 1.000000
    	-x_57 <= 0.000000
    	x_58 <= 1.000000
    	-x_58 <= 0.000000
    	x_59 <= 1.000000
    	-x_59 <= 0.000000
    	x_0 + x_15 + x_30 + x_45 <= 2.000000
    	x_1 + x_16 + x_31 + x_46 <= 4.000000
    	x_2 + x_17 + x_32 + x_47 <= 2.000000
    	x_3 + x_18 + x_33 + x_48 <= 3.000000
    	x_4 + x_19 + x_34 + x_49 <= 4.000000
    	x_5 + x_20 + x_35 + x_50 <= 1.000000
    	x_6 + x_21 + x_36 + x_51 <= 4.000000
    	x_7 + x_22 + x_37 + x_52 <= 1.000000
    	x_8 + x_23 + x_38 + x_53 <= 2.000000
    	x_9 + x_24 + x_39 + x_54 <= 1.000000
    	x_10 + x_25 + x_40 + x_55 <= 2.000000
    	x_11 + x_26 + x_41 + x_56 <= 1.000000
    	x_12 + x_27 + x_42 + x_57 <= 4.000000
    	x_13 + x_28 + x_43 + x_58 <= 4.000000
    	x_14 + x_29 + x_44 + x_59 <= 4.000000
    	87 x_45 + 36 x_46 + 38 x_47 + 67 x_48 + 68 x_49 + 93 x_50 + 21 x_51 + 19 x_52 + 37 x_53 + 46 x_54 + 7 x_55 + 11 x_56 + 4 x_57 + 76 x_58 + 100 x_59 <= 355.000000
    	
integer variables: 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
initial eta lower bounds: 0 0 0 0 
initial eta upper bounds: 0 0 0 0 
no equilibrium found right now

eta_0 bounded by [-759, -0]
eta_1 bounded by [-608, -0]
eta_2 bounded by [-634, -0]
eta_3 bounded by [-766, -0]
computation time of eta bounds with MIP gap 0.0001 is 0.006563 seconds
Root node problem: 
Optimization problem with 64 variables

min 	-52 x_45 - 72 x_46 - 94 x_47 - 26 x_48 - 91 x_49 - 67 x_50 - 51 x_51 - 65 x_52 - 64 x_53 - 40 x_54 - 65 x_55 - 97 x_56 - 45 x_57 - 88 x_58 - 73 x_59 - 67 x_30 - 56 x_31 - 85 x_32 - 41 x_33 - 23 x_34 - 58 x_35 - 95 x_36 - 25 x_37 - 12 x_38 - 72 x_39 - 72 x_40 - 24 x_41 - 84 x_42 - 47 x_43 - 100 x_44 - 91 x_15 - 47 x_16 - 85 x_17 - 65 x_18 - 54 x_19 - 50 x_20 - 46 x_21 - 92 x_22 - 59 x_23 - 11 x_24 - 88 x_25 - 60 x_26 - 24 x_27 - 7 x_28 - 28 x_29 - 14 x_0 - 31 x_1 - 76 x_2 - 88 x_3 - 78 x_4 - 41 x_5 - 98 x_6 - 52 x_7 - 99 x_8 - 43 x_9 - 95 x_10 - 87 x_11 - 63 x_12 - 66 x_13 - 63 x_14 - x_60 - x_61 - x_62 - x_63
s.t.	x_0 <= 1.000000
    	-x_0 <= 0.000000
    	x_1 <= 1.000000
    	-x_1 <= 0.000000
    	x_2 <= 1.000000
    	-x_2 <= 0.000000
    	x_3 <= 1.000000
    	-x_3 <= 0.000000
    	x_4 <= 1.000000
    	-x_4 <= 0.000000
    	x_5 <= 1.000000
    	-x_5 <= 0.000000
    	x_6 <= 1.000000
    	-x_6 <= 0.000000
    	x_7 <= 1.000000
    	-x_7 <= 0.000000
    	x_8 <= 1.000000
    	-x_8 <= 0.000000
    	x_9 <= 1.000000
    	-x_9 <= 0.000000
    	x_10 <= 1.000000
    	-x_10 <= 0.000000
    	x_11 <= 1.000000
    	-x_11 <= 0.000000
    	x_12 <= 1.000000
    	-x_12 <= 0.000000
    	x_13 <= 1.000000
    	-x_13 <= 0.000000
    	x_14 <= 1.000000
    	-x_14 <= 0.000000
    	x_0 + x_15 + x_30 + x_45 <= 2.000000
    	x_1 + x_16 + x_31 + x_46 <= 4.000000
    	x_2 + x_17 + x_32 + x_47 <= 2.000000
    	x_3 + x_18 + x_33 + x_48 <= 3.000000
    	x_4 + x_19 + x_34 + x_49 <= 4.000000
    	x_5 + x_20 + x_35 + x_50 <= 1.000000
    	x_6 + x_21 + x_36 + x_51 <= 4.000000
    	x_7 + x_22 + x_37 + x_52 <= 1.000000
    	x_8 + x_23 + x_38 + x_53 <= 2.000000
    	x_9 + x_24 + x_39 + x_54 <= 1.000000
    	x_10 + x_25 + x_40 + x_55 <= 2.000000
    	x_11 + x_26 + x_41 + x_56 <= 1.000000
    	x_12 + x_27 + x_42 + x_57 <= 4.000000
    	x_13 + x_28 + x_43 + x_58 <= 4.000000
    	x_14 + x_29 + x_44 + x_59 <= 4.000000
    	32 x_0 + 16 x_1 + 26 x_2 + 19 x_3 + 16 x_4 + 38 x_5 + 41 x_6 + 4 x_7 + 29 x_8 + 90 x_9 + 84 x_10 + 79 x_11 + 68 x_12 + 44 x_13 + 5 x_14 <= 295.000000
    	x_15 <= 1.000000
    	-x_15 <= 0.000000
    	x_16 <= 1.000000
    	-x_16 <= 0.000000
    	x_17 <= 1.000000
    	-x_17 <= 0.000000
    	x_18 <= 1.000000
    	-x_18 <= 0.000000
